staff,event_short,denominator,numerator,progress
Anna,Caregiver Survey,41,23,0.5609756097560976
Anna,Overall,41,23,0.5609756097560976
Cassie,Caregiver Survey,3,1,0.3333333333333333
Cassie,ECHO 2 Re-Consent,9,0,0
Cassie,IPA Scheduled,3,1,0.3333333333333333
Cassie,Overall,15,2,0.13333333333333333
Jody,Caregiver Survey,121,73,0.6033057851239669
Jody,ECHO 2 Re-Consent,2,2,1
Jody,ECHO 2 v3.01 Postnatal Consent,17,9,0.5294117647058824
Jody,IPA Scheduled,120,37,0.30833333333333335
Jody,Overall,260,121,0.4653846153846154
