ECHO_ID,event_short,Task Age Window,Responsible Staff,Responsibility Start,Last Observed,Assignment Source
BBS494-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
BBS494-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
BBS494-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
BHB279-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
BLK940-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BLK940-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BLK940-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Jody,2026-09-15,2026-09-22,Ripple tag
BNJ340-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
BPM036-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BPM036-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BPQ270-01-A,Caregiver Survey,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
BPQ270-01-A,ECHO 2 Re-Consent,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
BPQ270-01-A,IPA Scheduled,not_applicable,Unassigned,2026-09-15,2026-09-22,Unassigned
BRL402-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BRL402-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BSM142-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BSM142-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BSM142-01-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Jody,2026-09-15,2026-09-22,Ripple tag
BVD945-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BVD945-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BWJ550-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BWJ550-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BXJ770-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BXJ770-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
BZW702-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
CCC242-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CCC242-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CJF735-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CJF735-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CKJ511-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
CKL621-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CKL621-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CKX033-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
CLC701-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CLC701-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CNJ952-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
CNJ952-01-B,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
CPP633-01-A,Caregiver Survey,6_11_month,Anna,2026-09-15,2026-09-22,Age-window fallback
CPS604-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CPS604-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CSS863-02-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CSS863-02-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CSS863-02-A,ECHO 2 v3.01 Postnatal Consent,not_applicable,Jody,2026-09-15,2026-09-22,Ripple tag
CTT657-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CTT657-01-A,IPA Scheduled,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
CVH892-01-A,Caregiver Survey,12_23_month,Jody,2026-09-15,2026-09-22,Ripple tag
