FTM,Participant Cohort,Task,Outcome,Participants
Amy,3-20 year,11-17yr Child Hair,Complete,13
Amy,3-20 year,11-17yr Child Hair,Incomplete,11
Amy,3-20 year,3yrs+ Tooth 1,Incomplete,35
Amy,3-20 year,3yrs+ Tooth 2,Incomplete,35
Amy,3-20 year,3yrs+ Tooth 3,Incomplete,35
Amy,3-20 year,In-Person Assessments,Complete,28
Amy,3-20 year,In-Person Assessments,Incomplete,3
Amy,3-20 year,In-Person Assessments,No record,3
Amy,3-20 year,In-Person Assessments,No-Show,1
Andrew,3-20 year,3-5yr Child Saliva,Complete,7
Andrew,3-20 year,3-5yr Child Saliva,Incomplete,18
Andrew,3-20 year,3yrs+ Tooth 1,Complete,1
Andrew,3-20 year,3yrs+ Tooth 1,Incomplete,53
Andrew,3-20 year,3yrs+ Tooth 2,Complete,1
Andrew,3-20 year,3yrs+ Tooth 2,Incomplete,53
Andrew,3-20 year,3yrs+ Tooth 3,Incomplete,54
Andrew,3-20 year,In-Person Assessments,Complete,25
Andrew,3-20 year,In-Person Assessments,Incomplete,14
Andrew,3-20 year,In-Person Assessments,No record,6
Andrew,3-20 year,In-Person Assessments,No-Show,9
Andrew,6-35 month,12-23mo Child Bloodspot,Complete,2
Andrew,6-35 month,12-23mo Child Bloodspot,Incomplete,2
Andrew,6-35 month,12-23mo Child Urine,Complete,2
Andrew,6-35 month,12-23mo Child Urine,Incomplete,2
Andrew,6-35 month,12-23mo Hair,Complete,1
Andrew,6-35 month,12-23mo Hair,Incomplete,3
Andrew,6-35 month,12-23mo Mom Bloodspot,Complete,2
Andrew,6-35 month,12-23mo Mom Bloodspot,Incomplete,2
Andrew,6-35 month,In-Person Assessments,Complete,3
Andrew,6-35 month,In-Person Assessments,No record,1
Anna,3-20 year,11-17yr Child Hair,Complete,1
Anna,3-20 year,11-17yr Child Hair,Incomplete,1
Anna,3-20 year,3-5yr Child Saliva,Complete,11
Anna,3-20 year,3-5yr Child Saliva,Incomplete,15
Anna,3-20 year,3yrs+ Tooth 1,Complete,1
Anna,3-20 year,3yrs+ Tooth 1,Incomplete,31
Anna,3-20 year,3yrs+ Tooth 2,Incomplete,32
Anna,3-20 year,3yrs+ Tooth 3,Incomplete,32
Anna,3-20 year,In-Person Assessments,Complete,31
Anna,3-20 year,In-Person Assessments,No-Show,1
Breanna,3-20 year,3yrs+ Tooth 1,Incomplete,5
Breanna,3-20 year,3yrs+ Tooth 2,Incomplete,5
Breanna,3-20 year,3yrs+ Tooth 3,Incomplete,5
Breanna,3-20 year,In-Person Assessments,Complete,2
Breanna,3-20 year,In-Person Assessments,No record,2
Breanna,3-20 year,In-Person Assessments,No-Show,1
Breanna,6-35 month,12-23mo Child Bloodspot,Complete,1
Breanna,6-35 month,12-23mo Child Bloodspot,Incomplete,1
Breanna,6-35 month,12-23mo Child Urine,Incomplete,2
Breanna,6-35 month,12-23mo Hair,Incomplete,2
Breanna,6-35 month,12-23mo Mom Bloodspot,Complete,1
Breanna,6-35 month,12-23mo Mom Bloodspot,Incomplete,1
Breanna,6-35 month,In-Person Assessments,Complete,2
Cassie,3-20 year,11-17yr Child Hair,Complete,25
Cassie,3-20 year,11-17yr Child Hair,Incomplete,14
Cassie,3-20 year,3-5yr Child Saliva,Complete,1
Cassie,3-20 year,3-5yr Child Saliva,Incomplete,1
Cassie,3-20 year,3yrs+ Tooth 1,Incomplete,50
Cassie,3-20 year,3yrs+ Tooth 2,Incomplete,50
Cassie,3-20 year,3yrs+ Tooth 3,Incomplete,50
Cassie,3-20 year,In-Person Assessments,Complete,37
Cassie,3-20 year,In-Person Assessments,Incomplete,9
Cassie,3-20 year,In-Person Assessments,No record,2
Cassie,3-20 year,In-Person Assessments,No-Show,2
Jo,3-20 year,11-17yr Child Hair,Complete,5
Jo,3-20 year,11-17yr Child Hair,Incomplete,24
Jo,3-20 year,3-5yr Child Saliva,Complete,1
Jo,3-20 year,3-5yr Child Saliva,Incomplete,4
Jo,3-20 year,3yrs+ Tooth 1,Incomplete,44
Jo,3-20 year,3yrs+ Tooth 2,Incomplete,44
Jo,3-20 year,3yrs+ Tooth 3,Incomplete,44
Jo,3-20 year,In-Person Assessments,Complete,32
Jo,3-20 year,In-Person Assessments,Incomplete,11
Jo,3-20 year,In-Person Assessments,No record,1
Jody,3-20 year,11-17yr Child Hair,Complete,2
Jody,3-20 year,11-17yr Child Hair,Incomplete,3
Jody,3-20 year,3-5yr Child Saliva,Complete,10
Jody,3-20 year,3yrs+ Tooth 1,Incomplete,28
Jody,3-20 year,3yrs+ Tooth 2,Incomplete,28
Jody,3-20 year,3yrs+ Tooth 3,Incomplete,28
Jody,3-20 year,In-Person Assessments,Complete,22
Jody,3-20 year,In-Person Assessments,Incomplete,1
Jody,3-20 year,In-Person Assessments,No record,5
Jody,6-35 month,12-23mo Child Bloodspot,Complete,2
Jody,6-35 month,12-23mo Child Bloodspot,Incomplete,6
Jody,6-35 month,12-23mo Child Urine,Complete,1
Jody,6-35 month,12-23mo Child Urine,Incomplete,7
Jody,6-35 month,12-23mo Hair,Complete,2
Jody,6-35 month,12-23mo Hair,Incomplete,6
Jody,6-35 month,12-23mo Mom Bloodspot,Complete,2
Jody,6-35 month,12-23mo Mom Bloodspot,Incomplete,6
Jody,6-35 month,In-Person Assessments,Complete,6
Jody,6-35 month,In-Person Assessments,Incomplete,1
Jody,6-35 month,In-Person Assessments,No record,1
Kowlini,3-20 year,3-5yr Child Saliva,Complete,2
Kowlini,3-20 year,3-5yr Child Saliva,Incomplete,1
Kowlini,3-20 year,3yrs+ Tooth 1,Incomplete,18
Kowlini,3-20 year,3yrs+ Tooth 2,Incomplete,18
Kowlini,3-20 year,3yrs+ Tooth 3,Incomplete,18
Kowlini,3-20 year,In-Person Assessments,Complete,14
Kowlini,3-20 year,In-Person Assessments,No record,1
Kowlini,3-20 year,In-Person Assessments,No-Show,3
Kowlini,6-35 month,12-23mo Child Bloodspot,Complete,4
Kowlini,6-35 month,12-23mo Child Bloodspot,Incomplete,8
Kowlini,6-35 month,12-23mo Child Urine,Complete,2
Kowlini,6-35 month,12-23mo Child Urine,Incomplete,10
Kowlini,6-35 month,12-23mo Hair,Complete,4
Kowlini,6-35 month,12-23mo Hair,Incomplete,8
Kowlini,6-35 month,12-23mo Mom Bloodspot,Complete,4
Kowlini,6-35 month,12-23mo Mom Bloodspot,Incomplete,8
Kowlini,6-35 month,In-Person Assessments,Complete,8
Kowlini,6-35 month,In-Person Assessments,Incomplete,2
Kowlini,6-35 month,In-Person Assessments,No-Show,2
Nicole,3-20 year,3yrs+ Tooth 1,Complete,5
Nicole,3-20 year,3yrs+ Tooth 1,Incomplete,55
Nicole,3-20 year,3yrs+ Tooth 2,Complete,2
Nicole,3-20 year,3yrs+ Tooth 2,Incomplete,58
Nicole,3-20 year,3yrs+ Tooth 3,Incomplete,60
Nicole,3-20 year,In-Person Assessments,Complete,52
Nicole,3-20 year,In-Person Assessments,Incomplete,7
Nicole,3-20 year,In-Person Assessments,No record,1
Nicole,6-35 month,12-23mo Child Bloodspot,Complete,13
Nicole,6-35 month,12-23mo Child Bloodspot,Incomplete,22
Nicole,6-35 month,12-23mo Child Urine,Complete,16
Nicole,6-35 month,12-23mo Child Urine,Incomplete,19
